dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
661,43104,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.144,,,,0.826,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.135,,,,,-0.003,,,,,,,,,,122.211,122.579
661,43104.0104166667,0,,,,,0.003,,,,,,,,0.006,,,-0.001,,,,0,0,0,,,0.288,,,,0.963,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.125,,,,,-0.003,,,,,,,,,,122.205,122.631
661,43104.0208333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.042,,,,0.623,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.037,,,,,-0.004,,,,,,,,,,122.228,122.586
661,43104.03125,0,,,,,0.004,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.372,,,,0.914,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,-0.004,,,,,,,,,,122.009,122.666
661,43104.0416666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.175,,,,0.716,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.115,122.615
661,43104.0520833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.154,,,,0.694,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.178,122.641
661,43104.0625,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0,0,0,,,0.245,,,,0.624,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,-0.005,,,,,,,,,,122.097,122.683
661,43104.0729166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.112,,,,0.469,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.005,,,,,,,,,,122.116,122.625
661,43104.0833333333,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.306,,,,0.763,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.105,,,,,-0.004,,,,,,,,,,122.019,122.575
661,43104.09375,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.129,,,,0.614,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.134,,,,,-0.004,,,,,,,,,,122.047,122.447
661,43104.1041666667,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.308,,,,0.783,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.124,,,,,-0.004,,,,,,,,,,121.916,122.499
661,43104.1145833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.01,,,,0.384,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.02,,,,,-0.005,,,,,,,,,,121.973,122.401
661,43104.125,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.338,,,,0.692,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,-0.005,,,,,,,,,,121.823,122.44
